Annual Return (%),Annual Volatility (%),Sharpe Ratio
21.3748,16.6395,0.9841
15.8614,16.3461,0.6645
21.9163,18.0915,0.935
19.8098,16.6237,0.8909
21.9235,19.8808,0.8512
22.2598,17.9089,0.9638
16.9602,16.661,0.7179
22.6301,21.6091,0.8159
17.5571,15.7422,0.7977
22.9818,17.9438,1.0021
18.4768,16.6287,0.8105
20.3361,17.6241,0.8702
17.9412,15.7162,0.8234
16.3761,16.7514,0.6791
19.5164,18.2939,0.7935
21.4182,18.134,0.9054
18.9674,16.4219,0.8505
13.2163,15.8686,0.5178
21.6385,17.3494,0.959
17.1602,15.8547,0.767
15.4341,16.1002,0.6481
23.3521,16.9906,1.0801
21.4447,17.7185,0.9281
19.1516,17.4066,0.813
14.7412,13.0734,0.7451
15.7282,13.7364,0.781
15.0407,16.0441,0.6258
24.6955,18.8984,1.0422
16.4667,15.8758,0.7223
19.1125,17.2135,0.8199
19.9822,17.8338,0.8401
16.129,16.1396,0.6895
21.7301,19.0407,0.8787
19.5256,18.5094,0.7848
20.5994,16.4537,0.9481
19.0708,16.6276,0.8462
18.5512,17.0508,0.7948
26.2812,18.7882,1.1327
14.5515,15.4295,0.619
19.3893,19.5725,0.7352
19.6844,17.4885,0.8397
17.6787,16.351,0.7754
19.4661,18.4373,0.7846
21.6504,18.8302,0.8842
19.7047,20.3066,0.7241
17.8677,17.0038,0.7568
19.1452,15.7908,0.8958
20.918,19.7177,0.8073
18.8482,16.8877,0.82
20.0015,16.7336,0.8965
21.9901,17.4685,0.9726
20.831,18.4048,0.8602
15.996,14.6096,0.7527
20.8188,18.9879,0.8331
17.114,15.0043,0.8074
17.0543,19.4177,0.6208
22.6282,20.77,0.8487
18.4506,17.6577,0.7617
17.9116,16.5094,0.7821
14.855,14.19,0.6945
21.2134,18.2701,0.8874
17.3569,15.3806,0.8034
16.7058,14.7192,0.7953
15.9292,14.4013,0.7589
18.531,18.5031,0.7313
16.5572,16.3336,0.7076
14.143,16.0199,0.5707
14.526,16.5449,0.5758
13.3712,15.9599,0.5245
17.0131,15.8947,0.7558
19.2241,19.0753,0.7457
21.5471,18.034,0.9175
15.7012,16.3003,0.6565
17.098,17.611,0.687
16.7676,18.0235,0.6529
16.7297,17.0229,0.6891
22.9303,18.3238,0.9785
19.9842,18.3267,0.8176
18.5668,17.0557,0.7954
20.9256,16.1987,0.9831
20.7166,17.3256,0.9071
18.7678,15.467,0.8901
16.2207,14.4572,0.7761
19.8356,16.1135,0.9207
18.5947,18.0329,0.7539
13.7726,16.4851,0.5322
20.1313,16.2429,0.9316
19.6799,16.996,0.8637
25.5696,20.5641,1.0003
17.1671,17.7084,0.6871
16.0658,15.4905,0.7144
26.5901,18.821,1.1471
16.0387,15.9854,0.6906
14.7889,16.4625,0.5946
16.7132,18.2667,0.6412
14.1883,15.0981,0.6086
13.5984,16.1641,0.5319
15.105,13.7603,0.7344
19.6474,19.052,0.7688
19.0423,17.5962,0.798
14.1374,14.756,0.6192
15.431,15.2506,0.684
23.084,18.6402,0.9702
17.7255,14.5681,0.8735
21.005,19.2413,0.8318
20.7319,17.5511,0.8963
16.3914,15.6561,0.7276
19.8266,20.4369,0.7255
23.9204,19.9016,0.9507
18.569,14.9702,0.9064
17.6643,14.8964,0.8502
19.3983,15.3322,0.9391
18.8995,15.008,0.9261
22.0339,16.9948,1.0023
15.9518,14.8248,0.7387
15.4541,17.2964,0.6044
13.8571,15.3233,0.578
19.7158,15.8313,0.9295
19.1914,17.0935,0.8302
16.3886,17.2297,0.661
18.079,15.271,0.8565
17.9454,15.204,0.8514
17.2451,15.8328,0.7734
23.1298,21.4702,0.8444
19.4933,17.5516,0.8258
21.709,18.0915,0.9236
22.7611,18.9461,0.9375
17.9044,15.9155,0.8108
18.9045,16.2949,0.8533
19.9921,17.3316,0.865
19.7754,15.9014,0.9292
20.2771,17.4419,0.8759
17.8623,16.3656,0.7859
17.5471,16.7229,0.7503
22.4095,17.5051,0.9945
15.1731,15.7016,0.6479
19.6755,16.4513,0.8921
19.94,17.5093,0.8533
17.8375,18.3507,0.6996
20.8219,17.3626,0.9113
22.1172,18.8415,0.9085
19.6968,17.4467,0.8424
19.3414,15.6476,0.9165
23.1427,20.6806,0.8773
21.1444,17.2252,0.9373
16.9014,15.2757,0.7791
23.228,18.1447,1.0046
25.0268,19.1108,1.0479
15.0952,16.4838,0.6124
18.7312,15.7573,0.8714
20.2842,16.9129,0.9037
16.2049,16.7723,0.6681
17.826,13.9847,0.9171
17.7737,16.6286,0.7682
18.7603,16.8107,0.8185
17.9269,15.8779,0.8141
15.2117,14.6416,0.6974
15.6296,17.1087,0.6213
20.1115,18.2622,0.8275
18.6779,17.7395,0.771
20.0678,18.1699,0.8293
18.708,18.051,0.7594
18.5924,16.7847,0.8098
22.2913,16.4988,1.048
18.0601,16.2128,0.8055
18.4853,19.606,0.6878
22.0144,18.7009,0.9098
18.7158,16.0957,0.8521
14.6617,14.8446,0.6509
18.7264,17.2883,0.794
22.3351,16.0221,1.0819
20.7648,20.0294,0.7871
26.4704,21.5724,0.9953
17.3827,16.2564,0.7617
21.273,17.5097,0.9294
16.4168,14.6369,0.78
18.8042,14.712,0.9383
19.2972,16.1996,0.8826
17.4328,16.5007,0.7535
22.328,21.7439,0.7969
16.5015,18.8431,0.6104
16.0135,17.2007,0.6403
21.4032,20.0001,0.8202
18.9826,17.527,0.7978
17.4287,15.2378,0.8156
17.3375,18.1894,0.6783
21.9401,17.9998,0.9411
16.2836,14.8077,0.762
21.2681,18.427,0.8828
19.9007,17.1597,0.8684
15.6087,14.5751,0.7279
23.5895,16.5579,1.1227
16.3564,15.6567,0.7253
21.8522,18.0563,0.9333
18.3381,18.0673,0.7382
13.7357,14.9319,0.585
18.9254,16.8271,0.8276
21.979,18.8122,0.9025
18.2183,14.6075,0.9049
19.8346,15.0708,0.9843
22.7312,16.5005,1.0746
16.2398,14.7818,0.7604
19.959,18.6629,0.8015
19.9349,17.8277,0.8377
19.1627,17.1367,0.8265
23.3572,20.8878,0.8788
18.1037,16.9553,0.7728
19.9295,17.6476,0.846
23.6919,20.3976,0.9164
16.5975,15.3517,0.7555
19.3655,17.0631,0.8419
14.7414,14.6302,0.6658
18.6677,18.6469,0.733
18.9778,17.181,0.8136
19.3495,15.5645,0.9219
19.3028,15.851,0.9023
15.9652,15.6009,0.7029
22.6792,19.6366,0.9003
25.3781,19.2041,1.0611
19.4329,15.1691,0.9515
20.8761,18.5309,0.8567
20.2999,19.3823,0.7894
25.0749,20.0937,0.9991
14.5584,14.7248,0.6491
13.623,15.2864,0.5641
15.0825,14.6321,0.6891
15.5117,14.3848,0.7308
17.6503,17.2213,0.7346
21.8412,18.8473,0.8936
21.7479,19.9977,0.8375
